"location","population","highest_total_case","percent_population_infected"
Seychelles,98910.0,19777.0,0.199949448994035
Andorra,77354.0,15025.0,0.19423688497039585
Montenegro,628051.0,114364.0,0.18209349240746373
Czechia,10724553,1678862.0,0.15654377389901472
Bahrain,1748295.0,272341.0,0.15577519812159848
San Marino,34010.0,5261.0,0.15468979711849457
Maldives,543620.0,80791.0,0.14861668076965528
Georgia,3979773.0,543118.0,0.13646959261244296
Slovenia,2078723.0,266514.0,0.1282104445854498
Cyprus,888005.0,113277.0,0.12756347092640244
Israel,8789776.0,1051609.0,0.11964002268089653
Luxembourg,634814.0,75517.0,0.11895925420674403
United States,332915074,38796746,0.11653646539297287
Netherlands,17173094,1971713.0,0.1148140806775995
Argentina,45605823,5173531.0,0.11344014118547975
Serbia,6804596.0,757617.0,0.11133901263205045
Lithuania,2689862.0,297777.0,0.11070344872710942
Sweden,10160159,1123413.0,0.11057041528582377
Uruguay,3485152.0,384692.0,0.11038026461973538
Estonia,1325188.0,141344.0,0.1066595833949598
Panama,4381583.0,456666.0,0.1042239756727192
Spain,46745211,4831809.0,0.10336479174305149
Portugal,10167923,1034947.0,0.10178548755729169
Belgium,11632334,1177909.0,0.10126162127050341
France,67564251,6827146.0,0.10104672069849482
United Kingdom,68207114,6762904.0,0.09915247257052981
Brazil,213993441,20741815,0.0969273399365544
Colombia,51265841,4905258.0,0.09568277637345304
Kuwait,4328553.0,409552.0,0.09461637641955638
Croatia,4081657.0,373191.0,0.09143124961259606
Lebanon,6769151.0,600451.0,0.0887040339327635
Costa Rica,5139053.0,455784.0,0.08869027036693336
Switzerland,8715494.0,770765.0,0.08843618043911224
Liechtenstein,38254.0,3263.0,0.08529826946201705
Chile,19212362,1637829.0,0.08524870601542903
Hungary,9634162.0,811706.0,0.08425289091049123
North Macedonia,2082661.0,175330.0,0.08418556836662328
Armenia,2968128.0,241336.0,0.08130916186902991
Monaco,39520.0,3183.0,0.0805414979757085
Qatar,2930524.0,232366.0,0.07929162156665498
Jordan,10269022,795161.0,0.07743298242033175
Poland,37797000,2888231.0,0.0764142921395878
